"publication","year.x","start_page","assignee","doi","comments","bibtype","url","month","publisher","volume","number","pages","author","title","journal","editor"
"Journal of Plant Pathology",2015,97,"Nik","10.4454/JPP.V97I1.013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,2,"Adam","10.4454/JPP.V98I1.028","Original random page number is review, next sequential article selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,105,"Zach","10.4454/JPP.V98I1.030","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Journal of Plant Pathology",2016,132,"Emerson","10.4454/JPP.V98I1.071","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virology Journal (Plant Viruses Section)",2012,37,"Nik","10.1186/1743-422x-10-173","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-173",NA,"Springer Nature","10","1","173","Wenwen Liu and Xiaojuan Zhao and Peng Zhang and Thi Mar and Yan Liu and Zongying Zhang and Chenggui Han and Xifeng Wang","A one step real-time {RT}-{PCR} assay for the quantitation of Wheat yellow mosaic virus ({WYMV})","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,66,"Emerson","10.1186/1743-422x-10-262","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-262",NA,"Springer Nature","10","1","262","Daniel Mendes Ardisson-Araújo and Juliana Rocha and Márcio Hedil {da Costa} and Anamélia Bocca and André Dusi and Renato {de Oliveira Resende} and Bergmann Ribeiro","A baculovirus-mediated strategy for full-length plant virus coat protein expression and purification","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,78,"Emerson","10.1186/1743-422x-10-324","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-10-324",NA,"Springer Nature","10","1","324","Sudarsana Poojari and Olufemi J Alabi and Rayapati A Naidu","Molecular characterization and impacts of a strain of Grapevine leafroll-associated virus 2 causing asymptomatic infection in a wine grape cultivar","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2012,140,"Nik","10.1186/s12985-014-0216-x","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2Fs12985-014-0216-x","dec","Springer Nature","11","1",NA,"Tadeo Kaweesi and Robert Kawuki and Vincent Kyaligonza and Yona Baguma and Geoffrey Tusiime and Morag E Ferguson","Field evaluation of selected cassava genotypes for cassava brown streak disease based on symptom expression and virus load","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2013,15,"Emerson","10.1186/1743-422x-11-19","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-19",NA,"Springer Nature","11","1","19","Allan Olspert and Kristjan Kamsol and Cecilia Sarmiento and Jelena Gerassimenko and Erkki Truve","Cocksfoot mottle virus coat protein is dispensable for the systemic infection","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2014,61,"Emerson","10.1186/1743-422x-11-55","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-55",NA,"Springer Nature","11","1","55","Hongxing Xu and Xiaochan He and Xusong Zheng and Yajun Yang and Junce Tian and Zhongxian Lu","Southern rice black-streaked dwarf virus ({SRBSDV}) directly affects the feeding and reproduction behavior of its vector, Sogatella furcifera (Horv{\'{a}}th) (Hemiptera: Delphacidae)","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2014,139,"Nik","10.1186/1743-422x-11-81","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-81",NA,"Springer Nature","11","1","81","Liang Yang and Zhenguo Du and Feng Gao and Kangcheng Wu and Lianhui Xie and Yi Li and Zujian Wu and Jianguo Wu","Transcriptome profiling confirmed correlations between symptoms and transcriptional changes in {RDV} infected rice and revealed nucleolus as a possible target of {RDV} manipulation","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2016,10,"Nik","10.1186/1743-422x-11-103","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-103",NA,"Springer Nature","11","1","103","Mohammed A Al-Saleh and Ibrahim M Al-Shahwan and Judith K Brown and Ali M Idris","Molecular characterization of a naturally occurring intraspecific recombinant begomovirus with close relatives widespread in southern Arabia","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2016,105,"Emerson","10.1186/1743-422x-11-181","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2F1743-422x-11-181",NA,"Springer Nature","11","1","181","Moshe Lapidot and Dana Gelbart and Amit Gal-On and Noa Sela and Ghandi Anfoka and Fatima Haj Ahmed and Yusuf Abou-Jawada and Hana Sobh and Hamed Mazyad and Aboul-Ata E Aboul-Ata and Ahmed Kamal El-Attar and Mohammed S Ali-Shtayeh and Rana M Jamous and Jane E Polston and Siobain Duffy","Frequent migration of introduced cucurbit-infecting begomoviruses among Middle Eastern countries","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2016,119,"Emerson","10.1186/s12985-015-0340-2","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2Fs12985-015-0340-2","jul","Springer Nature","12","1",NA,"Deya Wang and Chengming Yu and Guolu Wang and Kerong Shi and Fan Li and Xuefeng Yuan","Phylogenetic and recombination analysis of Tobacco bushy top virus in China","Virology Journal",NA
"Virology Journal (Plant Viruses Section)",2016,128,"Zach","10.1186/s12985-015-0247-y","Original random page number not applicable, selected next article sequentially","Article","https://doi.org/10.1186%2Fs12985-015-0247-y",NA,"Springer Nature","12","1","11","Chun-Yi Lin and Meng-Ling Wu and Tang-Long Shen and Hsin-Hung Yeh and Ting-Hsuan Hung","Multiplex detection, distribution, and genetic diversity of Hop stunt viroid and Citrus exocortis viroid infecting citrus in Taiwan","Virology Journal",NA
"Molecular Plant Pathology",2012,108,"Zach","10.1111/j.1364-3703.2011.00729.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2011.00729.x","jun","Wiley-Blackwell","13","2","105--113","SHEAU-FANG HWANG and STEPHEN E. STRELKOV and JIE FENG and BRUCE D. GOSSEN and RON J. HOWARD","Plasmodiophora brassicae: a review of an emerging pathogen of the Canadian canola (Brassica napus) crop","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2012,142,"Nik","10.1111/j.1364-3703.2011.00736.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2011.00736.x","aug","Wiley-Blackwell","13","2","135--147","CBGOWDA RAYAPURAM and MICHAEL K. JENSEN and FABIAN MAISER and JOHANNA VIKGREN SHANIR and HENRIK HORNSHØJ and JESPER H. RUNG and PER L. GREGERSEN and PATRICK SCHWEIZER and DAVID B. COLLINGE and MICHAEL F. LYNGKJAER","Regulation of basal resistance by a powdery mildew-induced cysteine-rich receptor-like protein kinase in barley","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2013,18,"Zach","10.1111/j.1364-3703.2012.00833.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2012.00833.x","oct","Wiley-Blackwell","14","1","2--18","Joana G. Vicente and Eric B. Holub","Xanthomonas campestrispv.campestris(cause of black rot of crucifers) in the genomic era is still a worldwide threat to brassica crops","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2013,57,"Adam","10.1111/j.1364-3703.2012.00826.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2012.00826.x","sep","Wiley-Blackwell","14","1","44--57","Brisa Ramos and Pablo González-Melendi and Andrea Sánchez-Vallet and Clara Sánchez-Rodr\'\iguez and Gemma López and Antonio Molina","Functional genomics tools to decipher the pathogenicity mechanisms of the necrotrophic {fungusPlectosphaerella} {cucumerinainArabidopsis} thaliana","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2013,72,"Nik","10.1111/j.1364-3703.2012.00829.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2012.00829.x","sep","Wiley-Blackwell","14","1","71--83","Xin Liu and Jinhua Jiang and Yanni Yin and Zhonghua Ma","Involvement {ofFgERG}4in ergosterol biosynthesis, vegetative differentiation and virulence {inFusarium} graminearum","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2013,107,"Emerson","10.1111/j.1364-3703.2012.00832.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2012.00832.x","sep","Wiley-Blackwell","14","1","96--107","Klara Pretsch and Ariane Kemen and Eric Kemen and Matthias Geiger and Kurt Mendgen and Ralf Voegele","The rust transferred proteins-a new family of effector proteins exhibiting protease inhibitor function","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2013,141,"Zach","10.1111/j.1364-3703.2012.00836.x","","Article","https://doi.org/10.1111%2Fj.1364-3703.2012.00836.x","oct","Wiley-Blackwell","14","2","131--144","Yuna Wang and Fengfeng Dang and Zhiqin Liu and Xu Wang and Thomas Eulgem and Yan Lai and Lu Yu and Jianju She and Youliang Shi and Jinhui Lin and Chengcong Chen and Deyi Guan and Ailian Qiu and Shuilin He","{CaWRKY}58, encoding a group I {WRKY} transcription factor {ofCapsicum} annuum, negatively regulates resistance {toRalstonia} solanacearuminfection","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2014,53,"Zach","10.1111/mpp.12064","","Article","https://doi.org/10.1111%2Fmpp.12064","aug","Wiley-Blackwell","15","1","44--57","Fan Yang and Schuyler S. Korban and P. Lawrence Pusey and Michael Elofsson and George W. Sundin and Youfu Zhao","Small-molecule inhibitors suppress the expression of both type {III} secretion and amylovoran biosynthesis genes {inErwinia} amylovora","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2014,149,"Emerson","10.1111/mpp.12075","","Article","https://doi.org/10.1111%2Fmpp.12075","oct","Wiley-Blackwell","15","2","145--160","Suryadevara S. Rao and Mohamed H. El-Habbak and Wendy M. Havens and Ajay Singh and Danman Zheng and Laura Vaughn and James S. Haudenshield and Glen L. Hartman and Schuyler S. Korban and Said A. Ghabrial","Overexpression {ofGmCaM}4in soybean enhances resistance to pathogens and tolerance to salt stress","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2015,145,"Zach","10.1111/mpp.12167","","Article","https://doi.org/10.1111%2Fmpp.12167","aug","Wiley-Blackwell","16","2","137--149","Claudia Bartoli and Jay Ram Lamichhane and Odile Berge and Caroline Guilbaud and Leonardo Varvaro and Giorgio M. Balestra and Boris A. Vinatzer and Cindy E. Morris","A framework to gauge the epidemic potential of plant pathogens in environmental reservoirs: the example of kiwifruit canker","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2016,6,"Nik","10.1111/mpp.12257","","Article","https://doi.org/10.1111%2Fmpp.12257","may","Wiley-Blackwell","17","1","3--15","Lourdes Fernández-Calvino and Irene Guzmán-Benito and Francisco J. {del Toro} and Livia Donaire and Ana B. Castro-Sanz and Virginia Ru\'\iz-Ferrer and César Llave","Activation of senescence-{associatedDark}-inducible({DIN}) genes during infection contributes to enhanced susceptibility to plant viruses","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2016,94,"Nik","10.1111/mpp.12265","","Article","https://doi.org/10.1111%2Fmpp.12265","may","Wiley-Blackwell","17","1","84--95","Carl H. Mesarich and Ioannis Stergiopoulos and Henriek G. Beenen and Viviane Cordovez and Yanan Guo and Mansoor Karimi Jashni and Rosie E. Bradshaw and Pierre J. G. M. {de Wit}","A conserved proline residue in Dothideomycete Avr4 effector proteins is required to trigger a Cf-4-dependent hypersensitive response","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2016,116,"Zach","10.1111/mpp.12267","","Article","https://doi.org/10.1111%2Fmpp.12267","may","Wiley-Blackwell","17","1","108--119","Haifeng Zhang and Bing Li and Qin Fang and Ying Li and Xiaobo Zheng and Zhengguang Zhang","{SNARE} protein {FgVam}7 controls growth, asexual and sexual development, and plant infection {inFusarium} graminearum","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2016,121,"Zach","10.1111/mpp.12256","","Article","https://doi.org/10.1111%2Fmpp.12256","may","Wiley-Blackwell","17","1","120--126","Celia R. A. Duff-Farrier and Thierry Candresse and Andy M. Bailey and Neil Boonham and Gary D. Foster","Evidence for different, host-dependent functioning {ofRxagainst} both wild-type and {recombinantPepino} mosaic virus","Molecular Plant Pathology",NA
"Molecular Plant Pathology",2016,128,"Nik","10.1111/mpp.12318","","Article","https://doi.org/10.1111%2Fmpp.12318","nov","Wiley-Blackwell","17","1","127--139","Yufeng Fang and Brett M. Tyler","
		                    Efficient disruption and replacement of an effector gene in the oomycete
		                    P
		                    hytophthora sojae
		                    using {CRISPR}/Cas9
		                  ","Molecular Plant Pathology",NA
"Molecular Plant-Microbe Interactions",2012,66,"Adam","10.1094/mpmi-06-11-0154","","Article","https://doi.org/10.1094%2Fmpmi-06-11-0154","jan","Scientific Societies","25","1","61--68","V\'\ictor M. Rodr\'\iguez and Rogelio Santiago and Rosa Ana Malvar and Ana Butrón","Inducible Maize Defense Mechanisms Against the Corn Borer Sesamia nonagrioides: A Transcriptome and Biochemical Approach","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2012,115,"Adam","10.1094/mpmi-07-11-0193","","Article","https://doi.org/10.1094%2Fmpmi-07-11-0193","jan","Scientific Societies","25","1","107--118","Daniel Gonzalez-Ibeas and Joaquin Cañizares and Miguel A. Aranda","Microarray Analysis Shows That Recessive Resistance to Watermelon mosaic virus in Melon Is Associated with the Induction of Defense Response Genes","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2013,1,"Zach","10.1094/mpmi-05-12-0121-fi","Original random page number is review, next sequential article selected","Article","https://doi.org/10.1094%2Fmpmi-05-12-0121-fi","jan","Scientific Societies","26","1","31--35","Tom R. Maier and Tarek Hewezi and Jiqing Peng and Thomas J. Baum","Isolation of Whole Esophageal Gland Cells from Plant-Parasitic Nematodes for Transcriptome Analyses and Effector Identification","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2013,18,"Emerson","10.1094/MPMI-05-12-0135-FI","Original random page number is review, next sequential article selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molecular Plant-Microbe Interactions",2014,56,"Adam","10.1094/mpmi-08-13-0225-r","","Article","https://doi.org/10.1094%2Fmpmi-08-13-0225-r","jan","Scientific Societies","27","1","56--65","Jin-Ho Baek and Jin-Ah Park and Jung-Mi Kim and Jung-Mi Oh and Seung-Moon Park and Dae-Hyuk Kim","Functional Analysis of a Tannic-Acid-Inducible and Hypoviral-Regulated Small Heat-Shock Protein Hsp24 from the Chestnut Blight Fungus Cryphonectria parasitica","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2014,136,"Emerson","10.1094/mpmi-08-13-0242-r","","Article","https://doi.org/10.1094%2Fmpmi-08-13-0242-r","feb","Scientific Societies","27","2","136--149","Mar\'\ia Calvo and Tadeusz Malinowski and Juan Antonio Garc\'\ia","Single Amino Acid Changes in the 6K1-{CI} Region Can Promote the Alternative Adaptation of Prunus- and Nicotiana-Propagated Plum pox virus C Isolates to Either Host","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2015,110,"Emerson","10.1094/mpmi-05-14-0144-ta","","Article","https://doi.org/10.1094%2Fmpmi-05-14-0144-ta","feb","Scientific Societies","28","2","107--121","Xiaoyan Gong and Oscar Hurtado and Baohua Wang and Congqing Wu and Mihwa Yi and Martha Giraldo and Barbara Valent and Michael Goodin and Mark Farman","{pFPL} Vectors for High-Throughput Protein Localization in Fungi: Detecting Cytoplasmic Accumulation of Putative Effector Proteins","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2016,51,"Zach","10.1094/mpmi-03-15-0047-r","","Article","https://doi.org/10.1094%2Fmpmi-03-15-0047-r","jan","Scientific Societies","29","1","46--56","Qing Liu and Jianyuan Yang and Shaohong Zhang and Junliang Zhao and Aiqing Feng and Tifeng Yang and Xiaofei Wang and Xinxue Mao and Jingfang Dong and Xiaoyuan Zhu and Hei Leung and Jan E. Leach and Bin Liu","{OsGF}14b Positively Regulates Panicle Blast Resistance but Negatively Regulates Leaf Blast Resistance in Rice","Molecular Plant-Microbe Interactions",NA
"Molecular Plant-Microbe Interactions",2016,52,"Zach","10.1094/MPMI-07-15-0156-R","Original random page number included in previous article. Next sequential article selected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Molecular Plant-Microbe Interactions",2016,140,"Emerson","10.1094/mpmi-09-15-0211-r","","Article","https://doi.org/10.1094%2Fmpmi-09-15-0211-r","feb","Scientific Societies","29","2","132--142","Guixia Hao and Marco Pitino and Yongping Duan and Ed Stover","Reduced Susceptibility to Xanthomonas citri in Transgenic Citrus Expressing the {FLS}2 Receptor From Nicotiana benthamiana","Molecular Plant-Microbe Interactions",NA
"Nematology",2012,51,"Emerson","10.1163/138855411x578879","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F138855411x578879","jul","Brill Academic Publishers","14","1","85--92","Prasanna Holajjer and Anju Kamra and Hari S. Gaur and Dolly Wattal Dhar","$\less$I$\greater$In vitro$\less$/I$\greater$ nematicidal activity of a terrestrial cyanobacterium, $\less$I$\greater$Synechococcus nidulans$\less$/I$\greater$, towards plant-parasitic nematodes","Nematology",NA
"Nematology",2012,86,"Nik","10.1163/138855411x578374","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F138855411x578374","sep","Brill Academic Publishers","14","1","65--83","Phap Q. Trinh and Lieven Waeyenberge and Chau N. Nguyen and Maurice Moens","Morphological and molecular diversity of $\less$I$\greater$Radopholus$\less$/I$\greater$ on coffee in Vietnam and description of $\less$I$\greater$R. daklakensis$\less$/I$\greater$ sp. n. from Robusta coffee","Nematology",NA
"Nematology",2012,92,"Nik","10.1163/138855411x579418","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F138855411x579418","sep","Brill Academic Publishers","14","1","93--108","Ren-E Huang and Weimin Ye and Jun Liang and Quan Lu and Xing-Yao Zhang","$\less$I$\greater$Tylaphelenchus jiaae$\less$/I$\greater$ n. sp. and $\less$I$\greater$Aphelenchoides varicaudatus$\less$/I$\greater$ (Nematoda: Aphelenchoidinae) from Simao pine in Yunnan Province, China","Nematology",NA
"Nematology",2014,40,"Adam","10.1163/15685411-00002743","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F15685411-00002743","jan","Brill Academic Publishers","16","1","41--51","Margarida Pestana and Manuela Gouveia and Nereida Cordeiro and Luc\'\ilia Teixeira and Isabel {de O. Abrantes} and Mónica Rodrigues","In vitro evaluation of nematicidal properties of Solanum sisymbriifolium and S. nigrum extracts on Pratylenchus goodeyi","Nematology",NA
"Nematology",2014,56,"Adam","10.1163/15685411-00002746","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F15685411-00002746","jan","Brill Academic Publishers","16","1","73--81","Ma. Teodora Nadong Cabasan and Arvind Kumar and Stéphane Bellafiore and Dirk De Waele","Histopathology of the rice root-knot nematode, Meloidogyne graminicola, on Oryza sativa and O. glaberrima","Nematology",NA
"Nematology",2016,15,"Adam","10.1163/15685411-00002938","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F15685411-00002938","jan","Brill Academic Publishers","18","1","15--21","Fabio Biela and Simone {de Melo Santana-Gomes} and Isabela Hernandes and Andressa Cristina Zamboni Machado and Michelly Ragazzi Cardoso and Claudia Regina Dias-Arieira and Danielle Mattei","Host status and phenotypic diversity of rice genotypes in relation to Pratylenchus brachyurus resistance","Nematology",NA
"Nematology",2016,107,"Emerson","10.1163/15685411-00002950","Original random page number not applicable, selected only plant parasitic nematode articles","Article","https://doi.org/10.1163%2F15685411-00002950","mar","Brill Academic Publishers","18","2","147--154","Rumakanta Sapkota and Andrea M. Skantar and Mogens Nicolaisen","A {TaqMan} real-time {PCR} assay for detection of Meloidogyne~hapla in root galls and in soil","Nematology",NA
"Physiological and Molecular Plant Pathology",2012,11,"Nik","10.1016/j.pmpp.2011.11.001","","Article","https://doi.org/10.1016%2Fj.pmpp.2011.11.001","jan","Elsevier {BV}","77","1","10--16","Nadeem Yaqoob and Igor A. Yakovlev and Paal Krokene and Harald Kvaalen and Halvor Solheim and Carl Gunnar Fossdal","Defence-related gene expression in bark and sapwood of Norway spruce in response to Heterobasidion parviporum and methyl jasmonate","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2012,127,"Zach","10.1016/j.pmpp.2012.02.001","","Article","https://doi.org/10.1016%2Fj.pmpp.2012.02.001","apr","Elsevier {BV}","78",NA,"66--72","Christopher M. Wallis and Jianchi Chen and Edwin L. Civerolo","Zebra chip-diseased potato tubers are characterized by increased levels of host phenolics, amino acids, and defense-related proteins","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2012,144,"Emerson","10.1016/j.pmpp.2012.05.004","","Article","https://doi.org/10.1016%2Fj.pmpp.2012.05.004","jul","Elsevier {BV}","79",NA,"89--96","Emilie Steimetz and Sophie Trouvelot and Katia Gindro and Adeline Bordier and Beno\^\it Poinssot and Marielle Adrian and Xavier Daire","Influence of leaf age on induced resistance in grapevine against Plasmopara viticola","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2013,7,"Nik","10.1016/j.pmpp.2014.04.003","","Article","https://doi.org/10.1016%2Fj.pmpp.2014.04.003","apr","Elsevier {BV}","86",NA,"73--80","S. Gayatridevi and S.K. Jayalakshmi and V.H. Mulimani and K. Sreeramulu","Constitutive and induced polyphenol oxidases of chickpea infected by Fusarium oxysporum f. sp. ciceri: Purification and their physiological significance","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2013,98,"Nik","10.1016/j.pmpp.2014.07.003","","Article","https://doi.org/10.1016%2Fj.pmpp.2014.07.003","jul","Elsevier {BV}","87",NA,"76--85","Chinmay Biswas and Piyali Dey and P.G. Karmakar and Subrata Satpathy","Next-generation sequencing and micro {RNAs} analysis reveal {SA}/{MeJA}1/{ABA} pathway genes mediated systemic acquired resistance ({SAR}) and its master regulation via production of phased, trans-acting {siRNAs} against stem rot pathogen Macrophomina phaseolina in a {RIL} population of jute (Corchorus capsularis)","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2014,80,"Emerson","10.1016/j.pmpp.2014.10.002","","Article","https://doi.org/10.1016%2Fj.pmpp.2014.10.002","oct","Elsevier {BV}","88",NA,"94--100","Ying-Juan Chen and Xing-Guang Deng and Xing-Ji Peng and Tong Zhu and De-Hui Xi and Hong-Hui Lin","Turnip crinkle virus with nonviral gene cancels the effect of silencing suppressors of P19 and 2b in Arabidopsis thaliana","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2014,131,"Zach","10.1016/j.pmpp.2015.02.002","","Article","https://doi.org/10.1016%2Fj.pmpp.2015.02.002","apr","Elsevier {BV}","90",NA,"1--11","XiangYu Long and Margaret Balcerzak and Sigrun Gulden and Wenguang Cao and George Fedak and Yu-Ming Wei and You-Liang Zheng and Daryl Somers and Thérèse Ouellet","Expression profiling identifies differentially expressed genes associated with the fusarium head blight resistance {QTL} 2DL from the wheat variety Wuhan-1","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2014,144,"Zach","10.1016/j.pmpp.2015.04.004","","Article","https://doi.org/10.1016%2Fj.pmpp.2015.04.004","apr","Elsevier {BV}","90",NA,"98--104","Meng Zhang and Hanhan Kang and Guangqiang Zhang and Yanhui Chen and Xiangzhu Kong and Qifang Guo and Wei Wang","Overexpression of {TaUb}2 enhances disease resistance to Pseudomonas syringae pv. tomato {DC}3000 in tobacco","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2015,150,"Emerson","10.1016/j.pmpp.2015.05.001","","Article","https://doi.org/10.1016%2Fj.pmpp.2015.05.001","oct","Elsevier {BV}","92",NA,"148--153","Yan-Ling Zhang and Jian-Cai Mao and Jia-Feng Huang and Pei Meng and Feng Gao","A uracil-{DNA} glycosylase functions in spore development and~pathogenicity of Verticillium dahliae","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2016,9,"Nik","10.1016/j.pmpp.2015.11.003","","Article","https://doi.org/10.1016%2Fj.pmpp.2015.11.003","jan","Elsevier {BV}","93",NA,"1--11","Ana Isabel Cueto-Ginzo and Luis Serrano and Richard M. Bostock and Juan Pedro Ferrio and Ricardo Rodr\'\iguez and Laura Arcal and Mar\'\ia Ángeles Achon and Tania Falcioni and Walter Patricio Luzuriaga and Vicente Medina","Salicylic acid mitigates physiological and proteomic changes induced by the {SPCP}1 strain of Potato virus X in tomato plants","Physiological and Molecular Plant Pathology",NA
"Physiological and Molecular Plant Pathology",2016,91,"Zach","10.1016/j.pmpp.2016.01.004","","Article","https://doi.org/10.1016%2Fj.pmpp.2016.01.004","jan","Elsevier {BV}","93",NA,"85--92","Zhiyuan Yin and Xiwang Ke and Zhensheng Kang and Lili Huang","Apple resistance responses against Valsa mali revealed by transcriptomics analyses","Physiological and Molecular Plant Pathology",NA
